model,prompt,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,generated_words,length_ratio
gemini,chain_of_event,0.38384931197218697,0.5337558681213376,0.423298594943815,0.14151426135698048,0.19133961868379834,0.1539035800003866,0.181143625869164,0.25546006452661313,0.20076219736500966,0.8461926531791687,0.853877329826355,0.8499453330039978,441.52,1.542235873624173
gemini,few_shot,0.378934647711426,0.5224491306474359,0.41720959997273477,0.12833434838626726,0.1722487105578858,0.13947426725068465,0.17511907076945815,0.24367025779769375,0.1933262329794443,0.8480496978759766,0.8535248756408691,0.8507132911682129,441.04,1.5356638120896258
gemini,zero_shot,0.40119653829389795,0.5488348572305494,0.43909877346896975,0.14704213519502482,0.1975329544311988,0.15945549098873602,0.18804582311134443,0.262152450378253,0.207148057122998,0.8518703651428222,0.858690767288208,0.8552048969268798,438.92,1.534050811310738
openai,chain_of_event,0.3366264176842488,0.4754846753327854,0.3751255300534615,0.10570260903709425,0.14849283956200873,0.11748760516933623,0.15516603953095295,0.22352956215661388,0.17463634312364154,0.8401290774345398,0.843798725605011,0.841799111366272,431.68,1.5013520410318182
openai,few_shot,0.36159552325754574,0.5026190787164495,0.39942228225252946,0.11316301039507526,0.15344046993504584,0.12360381277544724,0.1616678248600838,0.22838003555793088,0.1798573770279056,0.8477305698394776,0.8462400960922242,0.8468989872932434,437.08,1.5188967352746232
openai,zero_shot,0.3604221926158337,0.49251661222933607,0.39379174638369013,0.11361114475805946,0.1535555602715709,0.12357736975920915,0.16542125231747765,0.22994514958655496,0.181990377408485,0.848571834564209,0.8469988965988159,0.8476912093162536,424.4,1.4923181167362864
qwen36,chain_of_event,0.36847012120982336,0.4754361513169785,0.39354010557605584,0.10831173850570633,0.13692094117747097,0.11457114073283346,0.1639602405352796,0.2167779124449657,0.17681428246775305,0.8419259405136108,0.8506499409675599,0.8462034368515015,412.36,1.4379134216559453
qwen36,few_shot,0.37948911786372036,0.47179969449561115,0.39914748337146816,0.10569645177626391,0.13151376864419492,0.11109901125550659,0.16558690084000488,0.2073770939257985,0.1743747636982404,0.8434129571914672,0.8498041224479675,0.8465273761749268,397.16,1.3798512012989945
qwen36,zero_shot,0.3811708223900009,0.4983007962623227,0.410848861423595,0.11670002395323975,0.15239561947123645,0.12565604126024044,0.17107900927782066,0.2259934621135197,0.18506474113752083,0.8434655213356018,0.8534143662452698,0.8483377504348755,414.4,1.4342213286850685
