model,prompt,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,generated_words,length_ratio
gemini,chain_of_event,0.4124141224458607,0.5531065537273261,0.44885160822340586,0.16843781488354626,0.22166065546046337,0.18083444064271903,0.19476624656903627,0.26935208463636834,0.21470642996550954,0.8540270328521729,0.8564901852607727,0.8551369094848633,448.28,1.5827160885525047
gemini,few_shot,0.4005771472555545,0.5370278321423986,0.44172685757259744,0.15514516746143664,0.20272750550236684,0.16861156178640255,0.18966796660467103,0.2588614703148534,0.21060463242815453,0.851941864490509,0.8546143651008606,0.8531969714164734,448.64,1.5429275975951142
gemini,zero_shot,0.41272905976743224,0.5633350431108382,0.4562434597434175,0.1727568291575813,0.2312973154569251,0.18898798206114534,0.19852851991150733,0.27822137662842067,0.22225060905918376,0.8557734990119934,0.8555540943145752,0.8555560421943664,455.32,1.5796231567250323
openai,chain_of_event,0.40621255046825605,0.5352456327064059,0.4415031669696855,0.14523296092101828,0.18803839160647315,0.15640562820761164,0.19005078717370774,0.2590877443910945,0.20996424693650145,0.8533393383026123,0.8480586886405945,0.8506189894676208,422.24,1.4691761727802275
openai,few_shot,0.3998603616666447,0.53683259835819,0.43745912933111286,0.14683874777439468,0.19666055492566592,0.16011004994253283,0.18060758182808637,0.25119143510726727,0.20058706136036902,0.8537625789642334,0.8493962955474853,0.8514981603622437,433.4,1.51553201108438
openai,zero_shot,0.4165686126831368,0.5348500226132354,0.44864011359540734,0.15587944871196127,0.19417688579291106,0.16557551155333075,0.1935501028544611,0.25453305822470434,0.21066210129709348,0.8547183394432067,0.8494065046310425,0.8519697427749634,414.0,1.4342920629975484
qwen36,chain_of_event,0.38805377507199074,0.4647161661007604,0.4017324544007482,0.12744629315573558,0.14801426494123102,0.1303746762985336,0.17789564725456386,0.21822228687615733,0.18645214585457873,0.8430497837066651,0.8478949022293091,0.845384259223938,395.68,1.3998406033208584
qwen36,few_shot,0.3686049718429922,0.4715562687539764,0.3945330766396236,0.11865414516714645,0.14809617601676964,0.12565785093188167,0.16988687983546974,0.22401555237274196,0.18418494727973905,0.84242112159729,0.8460244584083557,0.8441623139381409,426.12,1.5036595658860852
qwen36,zero_shot,0.3904686906653788,0.49049221595610476,0.4146440211749846,0.13016212682393824,0.1634810031038591,0.13791663779983498,0.18011915826152744,0.23295070356276404,0.19380549376719877,0.8451901650428773,0.8510516238212585,0.8480533218383789,410.08,1.4474181398018546
