model,prompt,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,generated_words,length_ratio
gemini,chain_of_event,0.37655058237209915,0.5332735379172492,0.41948001266644863,0.13861190068885126,0.1936278382434538,0.1533613954997665,0.1742142874284206,0.2522724869690268,0.1960309120089199,0.8504743504524231,0.8533647203445435,0.8518500685691833,462.24,1.5775763653934494
gemini,few_shot,0.3899944738864603,0.5378341085647333,0.42938341636926475,0.14026680016145188,0.19188922299589398,0.1544321230869471,0.17874271125631616,0.2520507114480427,0.19864709817567328,0.8510210514068604,0.8540009713172912,0.8524332928657532,449.64,1.5599607370827417
gemini,zero_shot,0.387288808169455,0.577277751121434,0.44272258916060475,0.14648338698816357,0.21580723017457099,0.16643741090282113,0.18173724914356496,0.2753950441718463,0.2090940352361431,0.8504058790206909,0.8548531222343445,0.8525704002380371,487.56,1.6510123983144525
openai,chain_of_event,0.37069173382872933,0.4896659366702878,0.40194560714052885,0.11608413445381231,0.15403003750245572,0.12608538799280597,0.1681248718771369,0.22752391609163383,0.18419966620776876,0.8486688160896301,0.847738332748413,0.8481206774711609,411.28,1.424220687394502
openai,few_shot,0.3648574438041577,0.49639351568628526,0.3999588524892769,0.11287606041805817,0.15005955886314212,0.12249268633659398,0.16268268472958572,0.2238865918011823,0.17919931829235428,0.8477263951301575,0.847306399345398,0.8474333548545837,423.96,1.4709243533968368
openai,zero_shot,0.37605842787814103,0.48883943710872285,0.40311858726990446,0.1219686033142225,0.1580299354628371,0.13052235724427072,0.17080122739717712,0.22677273656102342,0.18473487437967168,0.8512894320487976,0.8487750196456909,0.8499448323249816,403.36,1.4070533854155058
qwen36,chain_of_event,0.39817820916454466,0.5553358441293721,0.4371112087111833,0.13629046413458068,0.1916287110410676,0.15015080510005213,0.17628628061573726,0.2536661075401949,0.1962323920275446,0.8524669814109802,0.8569596982002259,0.854634256362915,449.36,1.5848826952190458
qwen36,few_shot,0.4024361877395551,0.5536313197812569,0.4421034538094403,0.13867179336937205,0.19176925628024225,0.15298595445670526,0.1816180336228565,0.25695903885981564,0.20215924219556672,0.8527570724487304,0.8565970540046692,0.8546015763282776,446.28,1.5595493202893698
qwen36,zero_shot,0.398641482918227,0.5664646565079444,0.4425118249512072,0.1422773188578595,0.20514951565815295,0.15898130429671453,0.18020838302212133,0.26391347085716055,0.20273111456400086,0.8535711288452148,0.8581685185432434,0.8557826757431031,451.72,1.5858111690863022
