model,prompt,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,generated_words,length_ratio
gemini,chain_of_event,0.40236214014882876,0.5555174003407735,0.4502886962119512,0.1689489599852586,0.23059485014078862,0.18742064018584617,0.2024629540024125,0.2864028490163884,0.2292115236190882,0.8564152669906616,0.8538168692588806,0.8550289463996887,459.44,1.5257465494758535
gemini,few_shot,0.3841612480501578,0.5478082178843612,0.4350278246990626,0.14709832166044998,0.20390335233532664,0.16394767052951006,0.18635237840613478,0.27086347064765404,0.21298655953074,0.8529823040962219,0.8517547655105591,0.8522561645507812,476.76,1.6220766274849105
gemini,zero_shot,0.38576353478133607,0.5909033780342486,0.44752610528757225,0.16355259291882043,0.24682205509783145,0.1876258533077209,0.1920209804704524,0.3032559187416471,0.22578747506516345,0.8554634189605713,0.8555714106559753,0.85539302110672,513.84,1.7451173823689201
openai,chain_of_event,0.4087696402096948,0.5251244597882926,0.43937606876457713,0.14450851135598272,0.17983231168985678,0.15277002263119357,0.18897440200650642,0.2488005881123348,0.2053652095287005,0.8536622858047486,0.8497684502601623,0.8516427803039551,412.16,1.4355849525029136
openai,few_shot,0.4075333740603541,0.5290632547031714,0.43845226929259273,0.14620072231401,0.1880314932522908,0.1563206690605851,0.1865332026801743,0.24947080372287458,0.2033874234355008,0.8522962903976441,0.8467087054252624,0.8494297003746033,417.48,1.4626606790058767
openai,zero_shot,0.4172814918483472,0.5228371399392899,0.4429149716564641,0.15281343150047533,0.18569679229991198,0.15961724403809036,0.1920649483411259,0.24812292015939832,0.20648924862432425,0.8556465744972229,0.8498894762992859,0.8526907396316529,401.28,1.3989691206933133
qwen36,chain_of_event,0.3927965188849905,0.5259333649389619,0.4295918826442868,0.1453941772358402,0.19375642011406566,0.15868688075756895,0.18372745000260107,0.2559614884216894,0.20421591462450572,0.849926540851593,0.8507491612434387,0.8502677059173585,440.56,1.54517821810517
qwen36,few_shot,0.38162914621645055,0.5314536798074606,0.42386811729988333,0.13937151763720476,0.19069822165174302,0.1532062098944691,0.17827462207515907,0.2573726583457343,0.20084805436017278,0.8484728407859802,0.8502472686767578,0.849294102191925,461.92,1.6149037925800043
qwen36,zero_shot,0.4031427855479802,0.5373990927940914,0.44006800533137747,0.15065039661542906,0.19860340681392993,0.16376629765239997,0.18842768733093668,0.2603354353804844,0.20872973452471622,0.8519768524169922,0.8542130875587464,0.8530331921577453,441.24,1.5461507071723606
