model,prompt,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_f1
gemini,chain_of_event,0.5711117965583028,0.2706878006990852,0.31287072567342233,0.899982750415802
gemini,few_shot,0.5763078436243472,0.26604642112805044,0.3196729999012634,0.8980088829994202
gemini,zero_shot,0.5624207421559406,0.27822094985885715,0.33117472284708427,0.8942539989948273
ollama,chain_of_event,0.5519306232541527,0.31083874467430195,0.39021781962958435,0.8950494080781937
ollama,few_shot,0.49996267941197525,0.2488132854460647,0.31354234091712807,0.8867858201265335
ollama,zero_shot,0.5417355076313847,0.2904178917113511,0.3753240404417517,0.8916473984718323
openai,chain_of_event,0.49302638279901123,0.268039032076577,0.3140512971266819,0.8879773914813995
openai,few_shot,0.5450981021016943,0.28412079753776925,0.32834442303819555,0.8939225375652313
openai,zero_shot,0.5170901211554696,0.28059000444651594,0.33792007364009535,0.8867346942424774
