model,prompt,rouge1_f1,rouge2_f1,rougeL_f1,bertscore_f1
gemini,chain_of_event,0.4861371436238854,0.22274723156416668,0.2710686864315641,0.8803052604198456
gemini,few_shot,0.4671403270836101,0.19604207809696705,0.26523727445555145,0.8799264132976532
gemini,zero_shot,0.5010907735695657,0.21634043260503158,0.27279806663049033,0.878335565328598
ollama,chain_of_event,0.4680317190184787,0.2507934269414204,0.31736947749473193,0.8722022771835327
ollama,few_shot,0.47083511201496053,0.2208229802826071,0.2784922776592836,0.8725444972515106
ollama,zero_shot,0.4682053927885985,0.1887366170369713,0.26498214035015666,0.869186595082283
openai,chain_of_event,0.465299148232085,0.21671736731073116,0.2805025782009087,0.8786702156066895
openai,few_shot,0.4808055347113523,0.22759208045538096,0.26435590206857285,0.8762101382017136
openai,zero_shot,0.47899231723698116,0.2200418120185637,0.2653279680119438,0.8725333213806152
